,Sentences
9109,Means of egress: Continuous and unobstructed route  from any point in a building or structure to a public  way.
9110,Neighbour: Any adjacent plot excluding roads and  sikkas.
9111,"Net area (NA): Actual occupied area, not including  unoccupied accessory areas such as corridors,  stairways, ramps, toilet rooms, mechanical rooms and  closets."
9112,Net floor height: Net distance between the finished  floor level (FFL) of a floor and the exposed surface of  the floor celling.
9113,K 6    Parapet wall: Part of any wall entirely above the roof  line.
9114,"Plot: Area of land that is:    a) clearly defined (by landmarks, coordinates, distinct  number, and the lengths of its sides and location);    b) intended for construction under any approved plan  or division project, or by any other method; and    c) legally authorized to be used for construction or    building as one unit."
9115,Plot area: Total area of a plot between its boundary  lines as measured on a horizontal plane.
9116,"Plot boundary: Boundary dividing one plot from  another, or from a street or any public place."
9117,"Plot coverage: Horizontal area occupied by all main  and annex buildings on the same plot, calculated from  the external surfaces of external walls or useful roofed  balconies in the ground or upper floors, whichever have  more floor projections."
9118,"Public way: Street, alley, or other plot of land open  to the outside air, leading to a street, that has  been deeded, dedicated or otherwise permanently  appropriated for public use, and has a clear width and  height of not less than 3 m.    Ramp: Inclined solid flat plane that is steeper than 5%  from the horizontal."
9119,"Reflectance: Measure of light reflected in a given  direction by a surface and which is expressed in a unit  term from 0 to 100 scale, respectively, that represents  a grey scale progression from the notional extremes of  total light absorption (black) to total light reflection  (white)."
9120,"Riser: Near-vertical element in a set of stairs,  forming the space between one step and the next  (see Figure K.3)."
9121,"Road or street: Public or private road allocated for  vehicles or pedestrian use or both, except for sikka as  defined in land use classification and regulations in  Dubai."
9122,"Shading device: Projecting fixture that extends outside  the external wall of any building, or a cover (such as  a louver), to protect any door or window from rain or  solar effect."
9123,"Shaft: Enclosed unoccupied space extending through  one or more stories of a building, connecting vertical  openings in successive floors, or floors and roof."
9124,Sidewalk: Hard-surfaced walk or raised path along and  parallel to the side of the street for pedestrians.
9125,"Sikka: Public or private path separating two adjacent  plots or a group of adjacent plots, that can be used by  pedestrians as a primary or secondary access to any  plot."
9126,"Dubai Building Code    Part K: Villas     Space: Identifiable area including room, toilet, hall,  assembly area, entrance, storage room, alcove,  courtyard or lobby."
9127,"Stair: Change in elevation, consisting of one or more  risers."
9128,Staircase: Space inside the building within which the  stairs are erected.
9129,"Stairway: One or more flights of stairs, either  exterior or interior, with necessary landings and  platforms connecting them to form a continuous and  uninterrupted passage from one level to another."
9130,"Structure: Constructed, erected material or  combination of materials which requires being located  on the ground or attached to something located on the  ground."
9131,"Swimming pool: Constructed pool for swimming,  bathing or wading whether above or below the ground  surface regardless of depth or water surface area."
9132,"Terraces: Covered or uncovered platform or roof,  protected by a guardrail or parapet wall and supported  by the structure of the floor below."
9133,Townhouses: Multiple villas connected by one or more  walls to a series of similar villas.
9134,Tread: Stepping space in a stair flight to set the foot  (see Figure K.3).
9135,"Vehicle access: Roadway, usually paved, intended to  provide ingress and egress of vehicular traffic from a  public right-of-way to a building entrance or parking  area."
9136,"Vehicular gate: Barrier intended for use at a vehicular  entrance or exit to a facility, building or portion thereof."
9137,Villa: Separate building located on a separate plot  allocated with all its floors for the dwelling of one  single family with an independent car parking space in  addition to independent external open space.
9138,Water closet: Toilet bowl and its attached accessories.
9139,"K.2.3    Accessibility    Accessibility: Ease of independent approach, entry,  evacuation and/or use of a building and its services  and facilities by all of the building’s potential users,  regardless of disability, age or gender, and with an  assurance of individual health, safety and welfare."
9140,"People of determination: People with specific needs  or disabilities, who are suffering from a temporary or  permanent, full or partial deficiency or infirmity in their  physical, sensory, mental, communication, educational  or psychological abilities."
9141,K.2.4    Building envelope    Building elevation: View showing the image of one side  of the building.
9142,A flat representation of one façade.
9143,"Building envelope: Physical barrier between the  exterior and the conditioned environment of a building  to resist air, water, moisture, heat, cold, light, and noise  transfer."
9144,"For an air-conditioned building, the building  envelope comprises the elements of a building that  separate conditioned spaces from the exterior."
9145,Crown  extensions to the façade to cover plant screen cladding  are part of the building envelope.
9146,The building envelope  does not include the physical barrier below ground.
9147,Containment: Glass barrier resisting penetration and  preventing people from falling even after failure or  breakage.
9148,"Damp-proof course: Layer of waterproof material or  construction in the wall of a building near the ground,  to prevent rising damp."
9149,Damp-proof membrane: Material applied to prevent  moisture transmission.
9150,Drained air space: Air layer within a wall that allows  any entering water or moisture to be drained out.
9151,"Glazed element: Individual element within a building  envelope that lets in light, including windows, plastic  panels, clerestories, skylights, doors that are more than  one half glass, and glass block walls."
9152,K 7    Dubai Building Code    Part K: Villas     Thermal insulation: Materials/products or the  methods and processes used to reduce heat transfer.
9153,"Heat energy can be transferred by conduction,  convection or radiation."
9154,The flow of heat can  be delayed by addressing one or more of these  mechanisms and is dependent on the physical  properties of the material employed to do this.
9155,"Thermal transmittance: Rate of transfer of heat  through a material(s) or assembly, expressed as a  U-value."
9156,Vapour resistance layer: Material layer within a wall or  roof build-up with a high resistance to moisture vapour.
9157,Window-to-wall ratio (WWR): Percentage determined  by dividing the glazed area by the total external wall  area of the building envelope.
9158,WWR can be calculation  per orientation or per entire building.
9159,"Glazing: Glass that is installed as one of the  components of a wall, floor, ceiling or roofing system."
9160,"Groundwater pressure: Pressure of groundwater held  within a soil or rock, in gaps between particles."
9161,"Guardrail: Vertical protective barrier erected along  elevated walking surfaces, exposed edges of stairways,  balconies and similar areas that minimizes the  possibility of fall from elevated surfaces to lower level."
9162,Interstitial condensation: Condensation which occurs  within or between layers of a construction.
9163,Light transmittance: Percentage of incident light  that passes through the glazed elements.
9164,"When this  percentage increases, the amount of daylight that  passes into the building will increase."
9165,"Moisture: Water or other liquid diffused in a small  quantity as vapour, within a solid, or condensed on a  surface."
9166,"Shading device: Projecting fixture that extends outside  the external wall of any building, or a cover (such as  a louver), to protect any door or window from rain or  solar effect."
9167,Skylight or overhead glazing: Glass or other  transparent or translucent glazing material installed at  a slope of 15° or more from vertical.
9168,"Solar reflectance index (SRI): Index that combines  reflectivity and emissivity, measuring a material’s  ability to reject solar heat."
9169,SRI is defined such that a  standard black (reflectance 0.05 and emittance 0.90) is  0 and a standard white (reflectance 0.80 and emittance  0.90) is 100.
9170,Materials with higher SRI absorb less heat  and can reduce heat island effect.
9171,Solid metal panels: Factory manufactured panel  consisting of solid metal skin or skins without a core.
9172,"Solid metal panels could be aluminium, steel, copper,  zinc, stainless steel, titanium, etc."
9173,Mould: Type of fungus that grows on damp or decaying  material surfaces.
9174,Surface condensation: Condensation which occurs  on a visible surface within a building.
9175,"Operational forces: Forces sustained by the building  envelope during operation of the building, e.g."
9176,impact  from equipment or occupants.
9177,Shading coefficient (SC): Ratio of solar heat gain at  normal incidence through glazing to that occurring  through an approximately 3 mm thick clear float glass.
9178,Thermal bridge: Component or assembly of  components penetrating through an otherwise  continuous thermal line through which heat is  transferred at a substantially higher rate than through  the surrounding envelope areas.
9179,"Examples could be a  metal fastener, concrete beam, balcony slab or column."
9180,K 8    Dubai Building Code    Part K: Villas     K.2.5    Structure    K.2.6    Incoming utilities    Geotechnical laboratory: Physical or legal entity in  charge of carrying out geotechnical soil investigations  and licensed to practice investigation activities in Dubai  in accordance with the applicable legislation.
9181,"Electrical    K.2.6.1  Accessory: Device, other than current-using  equipment, associated with such equipment or with the  wiring of an installation."
9182,Geotechnical Specialist Contractor: Physical or legal  person in charge of carrying out specialist geotechnical  works and design.
9183,It is licensed to practice geotechnical  construction and design activities in Dubai in  accordance with the applicable legislation.
9184,Serviceability: Condition beyond which a structure or  member becomes unfit for service and is judged to be  no longer useful for its intended use.
9185,"Active power: Real component of the apparent power,  expressed in watts (W)/kilowatts (kW)/megawatts  (MW)."
9186,Alternating current (AC): Electric current that reverses  its direction many times a second at regular intervals.
9187,Ambient temperature: Temperature of the air or other  medium where the equipment is to be used.
9188,Apparent power: Product of voltage (in volt) and  current (in amps).
9189,It is usually expressed in kilovolt-  ampere (kVA) or megavolt-ampere (MVA) and consist  of a real component (active power) and an imaginary  component (reactive power).
9190,Appliance: Item of current-using equipment other than  a luminaire or an independent motor.
9191,Arc fault detection device (AFDD): Devices  that protect specifically against arc faults.
9192,They  automatically trip a circuit when they detect dangerous  electric arcs.
9193,Barrier: Part providing a defined degree of protection  against contact with live parts from any usual direction  of access.
9194,Bonding conductor: Protective conductor providing  equipotential bonding.
9195,"Bunched cables: Two or more cables that are contained  within a single conduit, duct, or trunking, or if not  enclosed, are not separated from each other by a  specified distance."
9196,Cable tray: Cable support consisting of a continuous  base with raised edges and no covering.
9197,"A cable tray is  non-perforated, where less than 30% of the material is  removed from the base."
9198,"Cable trunking: Manufactured enclosure for the  protection of cables, normally of rectangular cross-  section, of which one side is removable."
9199,Circuit: Assembly of electrical equipment supplied from  the same origin and protected against overcurrent by  the same protective devices.
9200,"Circuit breaker: Device capable of making, carrying  and breaking normal load current and making  and automatically breaking, under predetermined  conditions, abnormal currents such as short-circuit  currents."
