,Sentences
12618,"  However, if the proposed RMU room location is less  than 12 m away from the main road then the sikka can  be used with a minimum clear width of 3 m."
12619,    Access shall be provided for DEWA staff and vehicles  from the plot limits to the substation and RMU rooms  (if setback is allocated in the affection plan by the  competent authority).
12620, The access shall be directly open  to sky and available 24/7.
12621,"    In a split room/basement room arrangement, the  transformer room may be located on an internal  driveway having a clear (3 m wide x 3 m high) and  direct access from the RTA road."
12622,    Requirements for provision of attic    G.
12623,7.
12624,4  slabs above substations and LV electrical  rooms    Wet facilities shall not normally be located above  the substation/RMU room/LV electrical room.
12625,"  Occasionally, in exceptional unavoidable cases, this  is permitted at the discretion of DEWA, and in these  cases the following requirements shall be met."
12626,    G 81    a) A reinforced concrete attic slab shall be provided  above the entire substation/RMU room/LV  electrical room.
12627,"    b) The entire attic slab and floor slab above, including  the vertical sides above the attic slab, shall be  waterproofed using an approved system."
12628,"    c) The Consultant shall take full responsibility for  supervision of the waterproofing works, during  execution and testing of waterproofing."
12629,"    d) All pipes, joints, trap, etc."
12630, running in wet areas  shall be enclosed in an approved waterproofing  membrane.
12631,    e) The void between the floor and attic slab shall    have a clear height of not less than 600 mm.
12632," The  void above the attic slab shall be accessed via an  opening of 1,200 mm × 600 mm, fitted with an  aluminium louvered door."
12633, The void shall not be used  for any other purpose and shall have a permanent  lighting arrangement.
12634, A drain pipe shall be provided  for the attic slab to drain out any water leakage  through the floor slab.
12635, Tiles are not compulsory  above the attic slab.
12636,    f) The Consultant shall forward complete floor plans  to DEWA.
12637, The plans shall show the location of  the wet area and the substation/RMU room/  LV electrical room.
12638, The extent of the attic slab  shall be clearly marked in the plans.
12639," Typical cross  sections through the wet area, substation/RMU  room/LV electrical room and attic slab shall be  shown in the drawings, including the waterproofing  arrangement/systems/materials."
12640,"    The following checklist shall be followed for attic slab  construction:    1)    reinforced concrete attic slab above entire  substation/ring main unit/LV;    2) clear depth (void) of 600 mm between attic slab    and floor slab;    3) aluminium louvered access door of    1,200 mm × 600 mm to above clear depth (void)  from outside substation;    4) waterproofing of attic slab, floor slab above attic    slab and vertical side walls;    5) drain pipe of 40 mm diameter projecting out of    the attic slab;    6) waterproofing of all pipe joints, traps, etc."
12641, running    in wet areas;    7)    lighting inside the void space;    8) drawings showing the above details attached;    9) guarantee letter;    10) no high pressure and vertical pipes passing in the    void area;    11) PVC tray provided with a 1:100 slope towards the    drain pipe.
12642,    Dubai Building Code    Part G: Incoming utilities     G.
12643,7.
12644,5    Substation types and areas    G.
12645,7.
12646,5.
12647,1    Single room substation (RMU and transformer in same room on  ground floor)    The dimensions for a single room substation where the RMU and transformer are in  the same room on the ground floor shall conform to Table G.
12648,23 and Figure G.
12649,39 to  Figure G.
12650,41.
12651,    6.
12652,54    06    1.
12653,0    0.
12654,77    0.
12655,90    0.
12656,77    2.
12657,05    0.
12658,20  0.
12659,40    Area required  (m2)    Minimum width  of room (m)    0.
12660,85    01    02    0.
12661,60    33    55    Additional 25    3.
12662,0    05    0.
12663,45    4.
12664,57    6.
12665,1    —    —    04    5.
12666,00    0.
12667,92    0.
12668,60    0.
12669,92    0.
12670,87    1.
12671,03    03    0  4  0    .
12672,    0  4  0    .
12673,    1.
12674,00    1.
12675,68    3.
12676,05    1.
12677,68    Figure G.
12678,"39 Typical 1 × 1,000 kVA/1,500 kVA substation arrangement (m) (for reference only, not for  construction)    Key  01: 150 mm øPVC at Trench Level  02: Transformer Base  03: RMU  04: RTU  05: Louvered windows 3."
12679,0 m (w) x 2.
12680,"15 m (h), installed 0."
12681,"6 m AFFL,  to be constructed to same detail as louvered doors  06: 0."
12682,"60 m opening at channel base level    Transformer topologies    1 × 1,000/1,500 kVA    2 × 1,000/1,500 kVA    Additional transformer    Four or more transformers (including necessary equipment)    10    Table G."
12683,23 Dimensions of single room substation    G 82    Dubai Building Code    Part G: Incoming utilities       9.
12684,00    6.
12685,00    5  7  .
12686,  0    0.
12687,45    0.
12688,20  0.
12689,40    0.
12690,77    0.
12691,90    0.
12692,77    1.
12693,00    0.
12694,77    0.
12695,90    0.
12696,77    0.
12697,20  0.
12698,40    0.
12699,85    01    02    0.
12700,85    01    02    0.
12701,45    0.
12702,45    0.
12703,92    0.
12704,60    0.
12705,92    0.
12706,92 0.
12707,60    0.
12708,92    04    0.
12709,90    0  3  .
12710,  0    0.
12711,67    0  8  .
12712,  0    0  1  .
12713,  2    0  4  .
12714,  0    0  6  .
12715,  0    0  0  .
12716,  3    0  0  .
12717,  6    03    0  3  .
12718,  1    1.
12719,00    2.
12720,98    3.
12721,05    2.
12722,98    Figure G.
12723,"40 Typical 2 × 1,000/1,500 kVA substation arrangement (m) (for reference only,  not for construction)    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RMU  04: RTU    G 83    Dubai Building Code    Part G: Incoming utilities     5  7  ."
12724,  0    0.
12725,45    0.
12726,20  0.
12727,40    0.
12728,77    0.
12729,90    0.
12730,77    1.
12731,00    0.
12732,77    0.
12733,90    0.
12734,77    0.
12735,20  0.
12736,40    0.
12737,85    01    02    0.
12738,85    01    02    0.
12739,45    0.
12740,45    0.
12741,92    0.
12742,60    0.
12743,92    0.
12744,92    0.
12745,60    0.
12746,92    0  0  .
12747,  6    04    0.
12748,90    0  3  .
12749,  0    0.
12750,67    0  8  .
12751,  0    0  1  .
12752,  2    0  4  .
12753,  0    0  6  .
12754,  0    03    0  3  .
12755,  1    1.
12756,00    05    06    Figure G.
12757,"41 Typical substation arrangement allowing for additional transformers (m) (for reference only, not for construction)    9."
12758,0    4.
12759,15    1.
12760,65    Key  01: 150mm øPVC at Trench Level  02: Transformer base  03: RMU  04: RTU  05: 25 m2 for extra transformer  06: 10 m2 for extra transformer    G 84    Dubai Building Code    Part G: Incoming utilities     G.
12761,7.
12762,5.
12763,2    Split room substation (RMU and transformer in separate rooms on  ground floor)    The dimensions for a split room substation where the RMU and transformer are in  separate rooms on the ground floor shall conform to Table G.
